Country,Population 2020,Yearly Change,Net Change,(P/Km²) Density,Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Urban Pop %,World Share
Afghanistan,38928346.00,0.02,886592.00,60.00,652860.00,-62920.00,4.60,18,0.25,0.00500
Albania,2877797.00,0.00,-3120.00,105.00,27400.00,-14000.00,1.60,36,0.63,0.00040
Algeria,43851044.00,0.02,797990.00,18.00,2381740.00,-10000.00,3.10,29,0.73,0.00560
American Samoa ,55191.00,0.00,-121.00,276.00,200.00,,N.A.,N.A.,0.88,0.00000
Andorra,77265.00,0.00,123.00,164.00,470.00,,N.A.,N.A.,0.88,0.00000
Angola,32866272.00,0.03,1040977.00,26.00,1246700.00,6413.00,5.60,17,0.67,0.00420
Anguilla ,15003.00,0.01,134.00,167.00,90.00,,N.A.,N.A.,N.A.,0.00000
Antigua and Barbuda,97929.00,0.01,811.00,223.00,440.00,0.00,2.00,34,0.26,0.00000
Argentina,45195774.00,0.01,415097.00,17.00,2736690.00,4800.00,2.30,32,0.93,0.00580
Armenia,2963243.00,0.00,5512.00,104.00,28470.00,-4998.00,1.80,35,0.63,0.00040
Aruba (Netherlands),106766.00,0.00,452.00,593.00,180.00,201.00,1.90,41,0.44,0.00000
Australia,25499884.00,0.01,296686.00,3.00,7682300.00,158246.00,1.80,38,0.86,0.00330
Austria,9006398.00,0.01,51296.00,109.00,82409.00,65000.00,1.50,43,0.57,0.00120
Azerbaijan,10139177.00,0.01,91459.00,123.00,82658.00,1200.00,2.10,32,0.56,0.00130
Bahamas,393244.00,0.01,3762.00,39.00,10010.00,1000.00,1.80,32,0.86,0.00010
Bahrain,1701575.00,0.04,60403.00,2239.00,760.00,47800.00,2.00,32,0.89,0.00020
Bangladesh,164689383.00,0.01,1643222.00,1265.00,130170.00,-369501.00,2.10,28,0.39,0.02110
Barbados,287375.00,0.00,350.00,668.00,430.00,-79.00,1.60,40,0.31,0.00000
Belarus,9449323.00,0.00,-3088.00,47.00,202910.00,8730.00,1.70,40,0.79,0.00120
Belgium,11589623.00,0.00,50295.00,383.00,30280.00,48000.00,1.70,42,0.98,0.00150
Belize,397628.00,0.02,7275.00,17.00,22810.00,1200.00,2.30,25,0.46,0.00010
Benin,12123200.00,0.03,322049.00,108.00,112760.00,-2000.00,4.90,19,0.48,0.00160
Bermuda ,62278.00,0.00,-228.00,1246.00,50.00,,N.A.,N.A.,0.97,0.00000
Bhutan,771608.00,0.01,8516.00,20.00,38117.00,320.00,2.00,28,0.46,0.00010
Bolivia,11673021.00,0.01,159921.00,11.00,1083300.00,-9504.00,2.80,26,0.69,0.00150
Bosnia and Herzegovina,3280819.00,-0.01,-20181.00,64.00,51000.00,-21585.00,1.30,43,0.52,0.00040
Botswana,2351627.00,0.02,47930.00,4.00,566730.00,3000.00,2.90,24,0.73,0.00030
Brazil,212559417.00,0.01,1509890.00,25.00,8358140.00,21200.00,1.70,33,0.88,0.02730
British Virgin Islands ,30231.00,0.01,201.00,202.00,150.00,,N.A.,N.A.,0.52,0.00000
Brunei,437479.00,0.01,4194.00,83.00,5270.00,0.00,1.80,32,0.80,0.00010
Bulgaria,6948445.00,-0.01,-51674.00,64.00,108560.00,-4800.00,1.60,45,0.76,0.00090
Burkina Faso,20903273.00,0.03,581895.00,76.00,273600.00,-25000.00,5.20,18,0.31,0.00270
Burundi,11890784.00,0.03,360204.00,463.00,25680.00,2001.00,5.50,17,0.14,0.00150
Cabo Verde,555987.00,0.01,6052.00,138.00,4030.00,-1342.00,2.30,28,0.68,0.00010
Cambodia,16718965.00,0.01,232423.00,95.00,176520.00,-30000.00,2.50,26,0.24,0.00210
Cameroon,26545863.00,0.03,669483.00,56.00,472710.00,-4800.00,4.60,19,0.56,0.00340
Canada,37742154.00,0.01,331107.00,4.00,9093510.00,242032.00,1.50,41,0.81,0.00480
Caribbean Netherlands,26223.00,0.01,244.00,80.00,328.00,,N.A.,N.A.,0.75,0.00000
Cayman Islands ,65722.00,0.01,774.00,274.00,240.00,,N.A.,N.A.,0.97,0.00000
Central African Republic,4829767.00,0.02,84582.00,8.00,622980.00,-40000.00,4.80,18,0.43,0.00060
Chad,16425864.00,0.03,478988.00,13.00,1259200.00,2000.00,5.80,17,0.23,0.00210
Channel Islands,173863.00,0.01,1604.00,915.00,190.00,1351.00,1.50,43,0.30,0.00000
Chile,19116201.00,0.01,164163.00,26.00,743532.00,111708.00,1.70,35,0.85,0.00250
China,1439323776.00,0.00,5540090.00,153.00,9388211.00,-348399.00,1.70,38,0.61,0.18470
Colombia,50882891.00,0.01,543448.00,46.00,1109500.00,204796.00,1.80,31,0.80,0.00650
Comoros,869601.00,0.02,18715.00,467.00,1861.00,-2000.00,4.20,20,0.29,0.00010
Republic of the Congo,5518087.00,0.03,137579.00,16.00,341500.00,-4000.00,4.50,19,0.70,0.00070
Cook Islands,17564.00,0.00,16.00,73.00,240.00,,N.A.,N.A.,0.75,0.00000
Costa Rica,5094118.00,0.01,46557.00,100.00,51060.00,4200.00,1.80,33,0.80,0.00070
Ivory Coast,26378274.00,0.03,661730.00,83.00,318000.00,-8000.00,4.70,19,0.51,0.00340
Croatia,4105267.00,-0.01,-25037.00,73.00,55960.00,-8001.00,1.40,44,0.58,0.00050
Cuba,11326616.00,0.00,-6867.00,106.00,106440.00,-14400.00,1.60,42,0.78,0.00150
Curacao ,164093.00,0.00,669.00,370.00,444.00,515.00,1.80,42,0.89,0.00000
Cyprus,1207359.00,0.01,8784.00,131.00,9240.00,5000.00,1.30,37,0.67,0.00020
Czechia,10708981.00,0.00,19772.00,139.00,77240.00,22011.00,1.60,43,0.74,0.00140
Denmark,5792202.00,0.00,20326.00,137.00,42430.00,15200.00,1.80,42,0.88,0.00070
Djibouti,988000.00,0.01,14440.00,43.00,23180.00,900.00,2.80,27,0.79,0.00010
Dominica,71986.00,0.00,178.00,96.00,750.00,,N.A.,N.A.,0.74,0.00000
Dominican Republic,10847910.00,0.01,108952.00,225.00,48320.00,-30000.00,2.40,28,0.85,0.00140
Democratic Republic of the Congo,89561403.00,0.03,2770836.00,40.00,2267050.00,23861.00,6.00,17,0.46,0.01150
Ecuador,17643054.00,0.02,269392.00,71.00,248360.00,36400.00,2.40,28,0.63,0.00230
Egypt,102334404.00,0.02,1946331.00,103.00,995450.00,-38033.00,3.30,25,0.43,0.01310
El Salvador,6486205.00,0.01,32652.00,313.00,20720.00,-40539.00,2.10,28,0.73,0.00080
Equatorial Guinea,1402985.00,0.03,46999.00,50.00,28050.00,16000.00,4.60,22,0.73,0.00020
Eritrea,3546421.00,0.01,49304.00,35.00,101000.00,-39858.00,4.10,19,0.63,0.00050
Estonia,1326535.00,0.00,887.00,31.00,42390.00,3911.00,1.60,42,0.68,0.00020
Eswatini,1160164.00,0.01,12034.00,67.00,17200.00,-8353.00,3.00,21,0.30,0.00010
Ethiopia,114963588.00,0.03,2884858.00,115.00,1000000.00,30000.00,4.30,19,0.21,0.01470
Faeroe Islands,48863.00,0.00,185.00,35.00,1396.00,,N.A.,N.A.,0.43,0.00000
Falkland Islands ,3480.00,0.03,103.00,0.00,12170.00,,N.A.,N.A.,0.66,0.00000
Fiji,896445.00,0.01,6492.00,49.00,18270.00,-6202.00,2.80,28,0.59,0.00010
Finland,5540720.00,0.00,8564.00,18.00,303890.00,14000.00,1.50,43,0.86,0.00070
France,65273511.00,0.00,143783.00,119.00,547557.00,36527.00,1.90,42,0.82,0.00840
French Guinea ,298682.00,0.03,7850.00,4.00,82200.00,1200.00,3.40,25,0.87,0.00000
French Polynesia ,280908.00,0.01,1621.00,77.00,3660.00,-1000.00,2.00,34,0.64,0.00000
Gabon,2225734.00,0.02,53155.00,9.00,257670.00,3260.00,4.00,23,0.87,0.00030
Gambia,2416668.00,0.03,68962.00,239.00,10120.00,-3087.00,5.30,18,0.59,0.00030
Georgia,3989167.00,0.00,-7598.00,57.00,69490.00,-10000.00,2.10,38,0.58,0.00050
Germany,83783942.00,0.00,266897.00,240.00,348560.00,543822.00,1.60,46,0.76,0.01070
Ghana,31072940.00,0.02,655084.00,137.00,227540.00,-10000.00,3.90,22,0.57,0.00400
Gibraltar,33691.00,0.00,-10.00,3369.00,10.00,,N.A.,N.A.,N.A.,0.00000
Greece,10423054.00,0.00,-50401.00,81.00,128900.00,-16000.00,1.30,46,0.85,0.00130
Greenlands ,56770.00,0.00,98.00,0.00,410450.00,,N.A.,N.A.,0.87,0.00000
Grenada,112523.00,0.00,520.00,331.00,340.00,-200.00,2.10,32,0.35,0.00000
Guadeloupe ,400124.00,0.00,68.00,237.00,1690.00,-1440.00,2.20,44,N.A.,0.00010
Guam (USA),168775.00,0.01,1481.00,313.00,540.00,-506.00,2.30,31,0.95,0.00000
Guatemala,17915568.00,0.02,334096.00,167.00,107160.00,-9215.00,2.90,23,0.52,0.00230
Guinea,13132795.00,0.03,361549.00,53.00,245720.00,-4000.00,4.70,18,0.39,0.00170
Guinea-Bissau,1968001.00,0.02,47079.00,70.00,28120.00,-1399.00,4.50,19,0.45,0.00030
Guyana,786552.00,0.00,3786.00,4.00,196850.00,-6000.00,2.50,27,0.27,0.00010
Haiti,11402528.00,0.01,139451.00,414.00,27560.00,-35000.00,3.00,24,0.57,0.00150
Holy See,801.00,0.00,2.00,2003.00,0.00,,N.A.,N.A.,N.A.,0.00000
Honduras,9904607.00,0.02,158490.00,89.00,111890.00,-6800.00,2.50,24,0.57,0.00130
Hong Kong,7496981.00,0.01,60827.00,7140.00,1050.00,29308.00,1.30,45,N.A.,0.00100
Hungary,9660351.00,0.00,-24328.00,107.00,90530.00,6000.00,1.50,43,0.72,0.00120
Iceland,341243.00,0.01,2212.00,3.00,100250.00,380.00,1.80,37,0.94,0.00000
India,1380004385.00,0.01,13586631.00,464.00,2973190.00,-532687.00,2.20,28,0.35,0.17700
Indonesia,273523615.00,0.01,2898047.00,151.00,1811570.00,-98955.00,2.30,30,0.56,0.03510
Iran,83992949.00,0.01,1079043.00,52.00,1628550.00,-55000.00,2.20,32,0.76,0.01080
Iraq,40222493.00,0.02,912710.00,93.00,434320.00,7834.00,3.70,21,0.73,0.00520
Ireland,4937786.00,0.01,55291.00,72.00,68890.00,23604.00,1.80,38,0.63,0.00060
Isle of Man,85033.00,0.01,449.00,149.00,570.00,,N.A.,N.A.,0.53,0.00000
Israel,8655535.00,0.02,136158.00,400.00,21640.00,10000.00,3.00,30,0.93,0.00110
Italy,60461826.00,0.00,-88249.00,206.00,294140.00,148943.00,1.30,47,0.69,0.00780
Jamaica,2961167.00,0.00,12888.00,273.00,10830.00,-11332.00,2.00,31,0.55,0.00040
Japan,126476461.00,0.00,-383840.00,347.00,364555.00,71560.00,1.40,48,0.92,0.01620
Jordan,10203134.00,0.01,101440.00,115.00,88780.00,10220.00,2.80,24,0.91,0.00130
Kazakhstan,18776707.00,0.01,225280.00,7.00,2699700.00,-18000.00,2.80,31,0.58,0.00240
Kenya,53771296.00,0.02,1197323.00,94.00,569140.00,-10000.00,3.50,20,0.28,0.00690
Kiribati,119449.00,0.02,1843.00,147.00,810.00,-800.00,3.60,23,0.57,0.00000
Kuwait,4270571.00,0.02,63488.00,240.00,17820.00,39520.00,2.10,37,N.A.,0.00050
Kyrgyzstan,6524195.00,0.02,108345.00,34.00,191800.00,-4000.00,3.00,26,0.36,0.00080
Laos,7275560.00,0.01,106105.00,32.00,230800.00,-14704.00,2.70,24,0.36,0.00090
Latvia,1886198.00,-0.01,-20545.00,30.00,62200.00,-14837.00,1.70,44,0.69,0.00020
Lebanon,6825445.00,0.00,-30268.00,667.00,10230.00,-30012.00,2.10,30,0.78,0.00090
Lesotho,2142249.00,0.01,16981.00,71.00,30360.00,-10047.00,3.20,24,0.31,0.00030
Liberia,5057681.00,0.02,120307.00,53.00,96320.00,-5000.00,4.40,19,0.53,0.00060
Libya,6871292.00,0.01,93840.00,4.00,1759540.00,-1999.00,2.30,29,0.78,0.00090
Liechtenstein,38128.00,0.00,109.00,238.00,160.00,,N.A.,N.A.,0.15,0.00000
Lithuania,2722289.00,-0.01,-37338.00,43.00,62674.00,-32780.00,1.70,45,0.71,0.00030
Luxembourg,625978.00,0.02,10249.00,242.00,2590.00,9741.00,1.50,40,0.88,0.00010
Macao,649335.00,0.01,8890.00,21645.00,30.00,5000.00,1.20,39,N.A.,0.00010
Madagascar,27691018.00,0.03,721711.00,48.00,581795.00,-1500.00,4.10,20,0.39,0.00360
Malawi,19129952.00,0.03,501205.00,203.00,94280.00,-16053.00,4.30,18,0.18,0.00250
Malaysia,32365999.00,0.01,416222.00,99.00,328550.00,50000.00,2.00,30,0.78,0.00420
Maldives,540544.00,0.02,9591.00,1802.00,300.00,11370.00,1.90,30,0.35,0.00010
Mali,20250833.00,0.03,592802.00,17.00,1220190.00,-40000.00,5.90,16,0.44,0.00260
Malta,441543.00,0.00,1171.00,1380.00,320.00,900.00,1.50,43,0.93,0.00010
Marshall Islands,59190.00,0.01,399.00,329.00,180.00,,N.A.,N.A.,0.70,0.00000
Martinique ,375265.00,0.00,-289.00,354.00,1060.00,-960.00,1.90,47,0.92,0.00000
Mauritania,4649658.00,0.03,123962.00,5.00,1030700.00,5000.00,4.60,20,0.57,0.00060
Mauritius,1271768.00,0.00,2100.00,626.00,2030.00,0.00,1.40,37,0.41,0.00020
Mayotte,272815.00,0.03,6665.00,728.00,375.00,0.00,3.70,20,0.46,0.00000
Mexico,128932753.00,0.01,1357224.00,66.00,1943950.00,-60000.00,2.10,29,0.84,0.01650
Micronesia,548914.00,0.01,5428.00,784.00,700.00,-2957.00,2.90,27,0.68,0.00010
Moldova,4033963.00,0.00,-9300.00,123.00,32850.00,-1387.00,1.30,38,0.43,0.00050
Monaco,39242.00,0.01,278.00,26337.00,1.00,,N.A.,N.A.,N.A.,0.00000
Mongolia,3278290.00,0.02,53123.00,2.00,1553560.00,-852.00,2.90,28,0.67,0.00040
Montenegro,628066.00,0.00,79.00,47.00,13450.00,-480.00,1.80,39,0.68,0.00010
Montserrat ,4992.00,0.00,3.00,50.00,100.00,,N.A.,N.A.,0.10,0.00000
Morocco,36910560.00,0.01,438791.00,83.00,446300.00,-51419.00,2.40,30,0.64,0.00470
Mozambique,31255435.00,0.03,889399.00,40.00,786380.00,-5000.00,4.90,18,0.38,0.00400
Myanmar ,54409800.00,0.01,364380.00,83.00,653290.00,-163313.00,2.20,29,0.31,0.00700
Namibia,2540905.00,0.02,46375.00,3.00,823290.00,-4806.00,3.40,22,0.55,0.00030
Nauru,10824.00,0.01,68.00,541.00,20.00,,N.A.,N.A.,N.A.,0.00000
Nepal,29136808.00,0.02,528098.00,203.00,143350.00,41710.00,1.90,25,0.21,0.00370
Netherlands,17134872.00,0.00,37742.00,508.00,33720.00,16000.00,1.70,43,0.92,0.00220
New Caledonia ,285498.00,0.01,2748.00,16.00,18280.00,502.00,2.00,34,0.72,0.00000
New Zealand,4822233.00,0.01,39170.00,18.00,263310.00,14881.00,1.90,38,0.87,0.00060
Nicaragua,6624554.00,0.01,79052.00,55.00,120340.00,-21272.00,2.40,26,0.57,0.00080
Niger,24206644.00,0.04,895929.00,19.00,1266700.00,4000.00,7.00,15,0.17,0.00310
Nigeria,206139589.00,0.03,5175990.00,226.00,910770.00,-60000.00,5.40,18,0.52,0.02640
Niue ,1626.00,0.01,11.00,6.00,260.00,,N.A.,N.A.,0.46,0.00000
North Korea,25778816.00,0.00,112655.00,214.00,120410.00,-5403.00,1.90,35,0.63,0.00330
North Macedonia,2083374.00,0.00,-85.00,83.00,25220.00,-1000.00,1.50,39,0.59,0.00030
Northern Mariana Islands ,57559.00,0.01,343.00,125.00,460.00,,N.A.,N.A.,0.88,0.00000
Norway,5421241.00,0.01,42384.00,15.00,365268.00,28000.00,1.70,40,0.83,0.00070
Oman,5106626.00,0.03,131640.00,16.00,309500.00,87400.00,2.90,31,0.87,0.00070
Pakistan,220892340.00,0.02,4327022.00,287.00,770880.00,-233379.00,3.60,23,0.35,0.02830
Palau,18094.00,0.00,86.00,39.00,460.00,,N.A.,N.A.,N.A.,0.00000
Panama,4314767.00,0.02,68328.00,58.00,74340.00,11200.00,2.50,30,0.68,0.00060
Papua New Guinea,8947024.00,0.02,170915.00,20.00,452860.00,-800.00,3.60,22,0.13,0.00110
Paraguay,7132538.00,0.01,87902.00,18.00,397300.00,-16556.00,2.40,26,0.62,0.00090
Peru,32971854.00,0.01,461401.00,26.00,1280000.00,99069.00,2.30,31,0.79,0.00420
Philippines,109581078.00,0.01,1464463.00,368.00,298170.00,-67152.00,2.60,26,0.47,0.01410
Poland,37846611.00,0.00,-41157.00,124.00,306230.00,-29395.00,1.40,42,0.60,0.00490
Portugal,10196709.00,0.00,-29478.00,111.00,91590.00,-6000.00,1.30,46,0.66,0.00130
Puerto Rico ,2860853.00,-0.02,-72555.00,323.00,8870.00,-97986.00,1.20,44,N.A.,0.00040
Qatar,2881053.00,0.02,48986.00,248.00,11610.00,40000.00,1.90,32,0.96,0.00040
Réunion,895312.00,0.01,6385.00,358.00,2500.00,-1256.00,2.30,36,1.00,0.00010
Romania,19237691.00,-0.01,-126866.00,84.00,230170.00,-73999.00,1.60,43,0.55,0.00250
Russia,145934462.00,0.00,62206.00,9.00,16376870.00,182456.00,1.80,40,0.74,0.01870
Rwanda,12952218.00,0.03,325268.00,525.00,24670.00,-9000.00,4.10,20,0.18,0.00170
Saint Barthelemy ,9877.00,0.00,30.00,470.00,21.00,,N.A.,N.A.,0.00,0.00000
Saint Helena,6077.00,0.00,18.00,16.00,390.00,,N.A.,N.A.,0.27,0.00000
Saint Kitts and Nevis,53199.00,0.01,376.00,205.00,260.00,,N.A.,N.A.,0.33,0.00000
Saint Lucia,183627.00,0.00,837.00,301.00,610.00,0.00,1.40,34,0.19,0.00000
Saint Martin ,38666.00,0.02,664.00,730.00,53.00,,N.A.,N.A.,0.00,0.00000
Saint Pierre and Miquelon,5794.00,0.00,-28.00,25.00,230.00,,N.A.,N.A.,1.00,0.00000
Samoa,198414.00,0.01,1317.00,70.00,2830.00,-2803.00,3.90,22,0.18,0.00000
San Marino,33931.00,0.00,71.00,566.00,60.00,,N.A.,N.A.,0.97,0.00000
Sao Tome and Principe,219159.00,0.02,4103.00,228.00,960.00,-1680.00,4.40,19,0.74,0.00000
Saudi Arabia,34813871.00,0.02,545343.00,16.00,2149690.00,134979.00,2.30,32,0.84,0.00450
Senegal,16743927.00,0.03,447563.00,87.00,192530.00,-20000.00,4.70,19,0.49,0.00210
Serbia,8737371.00,0.00,-34864.00,100.00,87460.00,4000.00,1.50,42,0.56,0.00110
Seychelles,98347.00,0.01,608.00,214.00,460.00,-200.00,2.50,34,0.56,0.00000
Sierra Leone,7976983.00,0.02,163768.00,111.00,72180.00,-4200.00,4.30,19,0.43,0.00100
Singapore,5850342.00,0.01,46005.00,8358.00,700.00,27028.00,1.20,42,N.A.,0.00080
Sint Maarten,42876.00,0.01,488.00,1261.00,34.00,,N.A.,N.A.,0.96,0.00000
Slovakia,5459642.00,0.00,2629.00,114.00,48088.00,1485.00,1.50,41,0.54,0.00070
Slovenia,2078938.00,0.00,284.00,103.00,20140.00,2000.00,1.60,45,0.55,0.00030
Solomon Islands,686884.00,0.03,17061.00,25.00,27990.00,-1600.00,4.40,20,0.23,0.00010
Somalia,15893222.00,0.03,450317.00,25.00,627340.00,-40000.00,6.10,17,0.47,0.00200
South Africa,59308690.00,0.01,750420.00,49.00,1213090.00,145405.00,2.40,28,0.67,0.00760
South Korea,51269185.00,0.00,43877.00,527.00,97230.00,11731.00,1.10,44,0.82,0.00660
South Sudan,11193725.00,0.01,131612.00,18.00,610952.00,-174200.00,4.70,19,0.25,0.00140
Spain,46754778.00,0.00,18002.00,94.00,498800.00,40000.00,1.30,45,0.80,0.00600
Sri Lanka,21413249.00,0.00,89516.00,341.00,62710.00,-97986.00,2.20,34,0.18,0.00270
Saint Vincent and the Grenadines,110940.00,0.00,351.00,284.00,390.00,-200.00,1.90,33,0.53,0.00000
Palestine,5101414.00,0.02,119994.00,847.00,6020.00,-10563.00,3.70,21,0.80,0.00070
Sudan,43849260.00,0.02,1036022.00,25.00,1765048.00,-50000.00,4.40,20,0.35,0.00560
Suriname,586632.00,0.01,5260.00,4.00,156000.00,-1000.00,2.40,29,0.65,0.00010
Sweden,10099265.00,0.01,62886.00,25.00,410340.00,40000.00,1.90,41,0.88,0.00130
Switzerland,8654622.00,0.01,63257.00,219.00,39516.00,52000.00,1.50,43,0.74,0.00110
Syria,17500658.00,0.03,430523.00,95.00,183630.00,-427391.00,2.80,26,0.60,0.00220
Taiwan,23816775.00,0.00,42899.00,673.00,35410.00,30001.00,1.20,42,0.79,0.00310
Tajikistan,9537645.00,0.02,216627.00,68.00,139960.00,-20000.00,3.60,22,0.27,0.00120
Tanzania,59734218.00,0.03,1728755.00,67.00,885800.00,-40076.00,4.90,18,0.37,0.00770
Thailand,69799978.00,0.00,174396.00,137.00,510890.00,19444.00,1.50,40,0.51,0.00900
Timor-Leste,1318445.00,0.02,25326.00,89.00,14870.00,-5385.00,4.10,21,0.33,0.00020
Togo,8278724.00,0.02,196358.00,152.00,54390.00,-2000.00,4.40,19,0.43,0.00110
Tokelau,1357.00,0.01,17.00,136.00,10.00,,N.A.,N.A.,0.00,0.00000
Tonga,105695.00,0.01,1201.00,147.00,720.00,-800.00,3.60,22,0.24,0.00000
Trinidad and Tobago,1399488.00,0.00,4515.00,273.00,5130.00,-800.00,1.70,36,0.52,0.00020
Tunisia,11818619.00,0.01,123900.00,76.00,155360.00,-4000.00,2.20,33,0.70,0.00150
Turkey,84339067.00,0.01,909452.00,110.00,769630.00,283922.00,2.10,32,0.76,0.01080
Turkmenistan,6031200.00,0.02,89111.00,13.00,469930.00,-5000.00,2.80,27,0.53,0.00080
Turks and Caicos ,38717.00,0.01,526.00,41.00,950.00,,N.A.,N.A.,0.89,0.00000
Tuvalu,11792.00,0.01,146.00,393.00,30.00,,N.A.,N.A.,0.62,0.00000
US Virgin Islands ,104425.00,0.00,-153.00,298.00,350.00,-451.00,2.00,43,0.96,0.00000
Uganda,45741007.00,0.03,1471413.00,229.00,199810.00,168694.00,5.00,17,0.26,0.00590
Ukraine,43733762.00,-0.01,-259876.00,75.00,579320.00,10000.00,1.40,41,0.69,0.00560
United Arab Emirates,9890402.00,0.01,119873.00,118.00,83600.00,40000.00,1.40,33,0.86,0.00130
United Kingdom,67886011.00,0.01,355839.00,281.00,241930.00,260650.00,1.80,40,0.83,0.00870
United States of America,331002651.00,0.01,1937734.00,36.00,9147420.00,954806.00,1.80,38,0.83,0.04250
Uruguay,3473730.00,0.00,11996.00,20.00,175020.00,-3000.00,2.00,36,0.96,0.00040
Uzbekistan,33469203.00,0.01,487487.00,79.00,425400.00,-8863.00,2.40,28,0.50,0.00430
Vanuatu,307145.00,0.02,7263.00,25.00,12190.00,120.00,3.80,21,0.24,0.00000
Venezuela,28435940.00,0.00,-79889.00,32.00,882050.00,-653249.00,2.30,30,N.A.,0.00360
Vietnam,97338579.00,0.01,876473.00,314.00,310070.00,-80000.00,2.10,32,0.38,0.01250
Wallis and Futuna ,11239.00,-0.02,-193.00,80.00,140.00,,N.A.,N.A.,0.00,0.00000
Western Sahara,597339.00,0.03,14876.00,2.00,266000.00,5582.00,2.40,28,0.87,0.00010
Yemen,29825964.00,0.02,664042.00,56.00,527970.00,-30000.00,3.80,20,0.38,0.00380
Zambia,18383955.00,0.03,522925.00,25.00,743390.00,-8000.00,4.70,18,0.45,0.00240
Zimbabwe,14862924.00,0.01,217456.00,38.00,386850.00,-116858.00,3.60,19,0.38,0.00190
