Country,Cont.,Total Cases,New Cases,Total Deaths,New Deaths,Total Rccovered,Active Cases,"Serious, Critical",TotÂ Cases/1M pop,Deaths/1M pop,Total Tests,Tests/1M pop
United States of America,North America,33374726.0,5534.0,594103.0,97.0,26105941.0,6674682.0,9261.0,100332.0,1786.0,454546735.0,1366469.0
India,Asia,21640667.0,155382.0,235189.0,1118.0,17719749.0,3685729.0,8944.0,15553.0,169.0,298601699.0,214596.0
Brazil,South America,15009023.0,,417176.0,,13591335.0,1000512.0,8318.0,70189.0,1951.0,46616516.0,218001.0
France,Europe,5728090.0,,105850.0,,4786754.0,835486.0,5231.0,87591.0,1619.0,77792623.0,1189567.0
Turkey,Asia,4977982.0,,42187.0,,4626799.0,308996.0,3378.0,58492.0,496.0,48712606.0,572383.0
Russia,Asia,4863514.0,8386.0,112622.0,376.0,4480360.0,270532.0,2300.0,33315.0,771.0,130600000.0,894598.0
United Kingdom,Europe,4431043.0,2490.0,127598.0,15.0,4242192.0,61253.0,163.0,64983.0,1871.0,163171777.0,2392987.0
Italy,Europe,4092747.0,10554.0,122470.0,207.0,3572713.0,397564.0,2253.0,67776.0,2028.0,60532582.0,1002419.0
Spain,Europe,3559222.0,,78726.0,,3239382.0,241114.0,2212.0,76100.0,1683.0,47213067.0,1009471.0
Germany,Europe,3493757.0,7295.0,84924.0,113.0,3128800.0,280033.0,5049.0,41587.0,1011.0,56836969.0,676545.0
